ID;Saran
188;Ibu, dimohon banget bu. untuk materi contoh soal diperbanyak kasusnya terutama dalam aplikasi soal.
189;"Ibu sudah sangat bagus dalam mengajar dan memotivasi mahasiswa supaya menjadi orang yang jujur , bijaksana dan menjadi orang yang sukses.<br />
Terimakasi atas ilmu yang Ibu berikan, semoga bisa manfaat."
190;Semoga semakin baik kedepannya
191;tidak ada
192;Cukup baik
193;Presentasi di buat lebih menarki
194;.
195;Baik dan terima kasih
196;terimakasih ibu
197;Sudah baik
198;Tidak ada
199;cukup
200;Semoga sehat selalu
201;"tidak ada<br />
"
202;Tidak Ada
203;Mengajar tidak adanya motivasi dan kepedulian terhadap mahasiswa
204;sejauh ini cukup baik
205;Materi cukup ringkas jadi mudah dipahami
206;Dosen sangat baik dalam menyampaikan materi yang diberikan.
207;Baik
208;Baik dalam mengajar
209;"saat melakukan v-conf suara kurang terdengar jelas<br />
"
210;Terimakasih.
211;baik
212;materi dan tugas tugas yang diberikan amat dipahami, tetapi agak sedikit kurang dengan waktu pemberian kisi kisi untuk uas, baik juga ibu dosennya
213;Terima kasih selama 1 semester ini bu
214;.
215;cukup
216;tidak ada
217;Kalkulusnya susah bu :\\
218;tidak ada
219;deadline tugasnya terlalu cepat bu
220;Semoga Kedepannya Menjadi Lebih Baik
221; 
222;sudah bagus
223;TIDAK BERTANGGUNG JAWAB DAN TIDAK PERMNAH MENGAJAR SEMLAMA ONLINE/DARING
224;.
225;terimakasih
226;Terimakasih bu untuk semester ini sehat selalu
227;"<br />
Terimakasih bu atas pengajarannya"
228;.
229;. 
230; 
231;Terimakasih atas bimbingannya sejauh ini, semoga sukses selalu.
232;"sejauh ini ckup baik<br />
"
233;Baik
234;.
235;Cukup baik dalam mengajar
236;Dosen sangat aktif dan ramah
237;dosen mengajarkan materi dengan baik
238;Kritik dan saran tidak ada
239;terimakasih pak sudah mengajarkan ilmunya, semoga lebih baik kedepannya
240;Saya mengharapkan agar mata kuliah ini sering memberikan quiz di setiap pertemuan yang berkaitan dengan materi yang diajarkan. Karena quiz tersebut sebagai latihan mahasiswa dalam menghadapi uts dan UAS 
241;terimakasih
242;bagus
243;tidak ada
244;Selama perkuliahan sangat baik
245;Cara mengajar dari ibu dosen sangat baik
246;semoga menjadi lebih baik lagi
247;Sudah cukup baik 
248;Terimakasih telah memberikan ilmu pengetahuan kepada saya
249;Tidak ada
250;Sudah baik 
251;tidak ada saran
252;sangat baik
253;Sistem belajar yang asik, mahasiswa tidak mudah bosan
254;semoga kedepannya untuk komunikasi antar dosen dengan mahasiswa lebih baik
255;Makasih bu
256;Baik
257;.
258;Saran saya materi yang diberikan lebih lengkap
259;Menurut saya cara dosen mengajar sudah sangat baik
260;Terima kasih bu sudah membimbing dan mengajar semoga ibu sehat sehat
261;Terimakasih banyak ibu 
262;Tidak ada sudah cukup
263;cara mengajar sudah baik, terima kasih bu
264;terimakasih atas pengajaran yang sangat baik dan mudah diterima
265;Sudah jelas menyampaikan materi, Terimakasih Bu
266;penyampaian materi mudah dimengerti, tetapi ada beberapa pertemuan yang hybrid, bagi yang offline rada bingung karena layar ada yang menampilkan materi dan ada yang menampilkan papan tulis.
267;Tidak ada
268;Baik
269;Terima kasih banyak bu atas jasanya, semoga ilmu yang sudah diberikan bermanfaat untuk kemudian hari, aamiin
270;Keren
271;Ibu sudah sangat bagus sekali dalam mengajar dan memotivasi mahasiswa supaya menjadi orang yang jujur , bijaksana dan menjadi orang yang sukses.
272;Pembawaan materinya sangat jelas dan dapat mudah dipahami. Kurangnya mungkin hanya tidak adanya pembahasan video..  
273;"tidak ada<br />
"
274;Untuk penjelasan mungkin bisa lebih baik lagi
275;Semoga kedepannya lebih baik lagi, Terima Kasih
276;-
277;Tidak ada
278;Saran saya tingkatkan penjelasan secara maksimal, terima kasih banyak ya bu
279;baik
280;Terima kasih telah membimbing saya selama satu semester ini bu
281;Terimakasih Ilmunya bu
282;Tidak ada
283;Sudah baik, pertahankan 
284;untuk ulangan beberapa soal gambar yang tidak muncul gambarnya
285;Sudah cukup baik
286;Baik dalam pemberian materi dan mudah di pahami
287;. 
288;Terima kasih ibu dosen painem yang sudah mengajar kelas algo kelompok AA, semoga di beri kesehatan selalu saat mengajar.
289;-
290;Baik dalam pembelajaran
291;cara mengajar dosen baik
292;"mungkin lebih mudah di pahami jika langsung di praktikan<br />
"
293;Semoga kedepannya bisa lebih baik lagi dalam pengajarannya dan semakin menarik
294;Semoga lebih baik
295;materi mudah di mengerti
296;Tidak ada
297;Saran saya, lebih baik saat menjelaskan materi langsung dipraktekan di devc++ atau lainnya agar mahasiswa mudah memahami materi.
298;Saat ujian UAS banyak pertanyaan yg typo
299;semoga lebih baik dari sebelumnya
300;Tidak ada
301;Bi iin keren suka sama cara ngajarnya, tapi gatau kenapa ya buu pas pertemuan abis uas saya kurang paham sama materi nyaa
302;Semoga dipermudahkan untuk nilai
303;Materi dan contoh kasus sudah ok bu
304;baik, perbanyak pertemuan tatap muka
305;Baik
306;sama bu
307;tidak ada
308;tidak ada
309;terimakasih atas ilmu yang diberikan bu selamat 1 semester ini¿¿¿¿
310;.
311;Terimakasih bu atas pembelajarannya semester ini
312;oke
313;"Tri makasih atas pengajaran ibu<br />
<br />
Semoga kedepan lebih baik dalam karirnya¿¿¿¿"
314;baik lah pokoknya mah
315;semangat ibu
316;sudah baik dalam menjalani tugas nya sebagai dosen
317;Terimakaaih untuk pembelajaran nya 
318; 
319;Good
320;"Ibu sudah sangat bagus dalam mengajar dan memotivasi mahasiswa supaya menjadi orang yang jujur , bijaksana dan menjadi orang yang sukses.<br />
Terimakasi atas ilmu yang Ibu berikan, semoga bisa manfaat."
321;tidak ada
322;sudah cukup baik
323;Baik
324;baik
325;baik
326;Semoga kedepannya lebih baik
327;terima kasih ibu telah mengajarkan saya, cukup baikk
328;Semoga dibantu untuk nilai
329;.
330;Sangat baik
331;baik
332;me-record pertemuan google meet agar dapat dilihat kembali
333;Baik
334;"materi cukup mudah untuk dipahami<br />
"
335;Terima kasih atas ajaran nya bu
336;baik
337;sehat selalu bu!
338;Trimakasih
339;Baik
340;baik
341;sama bu
342;terima kasih ibu, sudah mengajar saya dengan baik 
343;(Yyyy)
344;terimakasih ya bu atas ilmu yang diberikan selama 1 semester ini. semoga bu rusdah sehat selalu dan sukses selalu ya bu. tetap jadi dosen yang baik ya bu
345;sangat baik
346;.
347;Bu rusdah parah sii, chill banget ibu nya. tapi tetep ada batasan sii, asikk deh pokoknya
348;"Terima kasih bu selama semester ini, semoga ibu tetap dengan pengajaran yang seperti ini kedepannya<br />
"
349;d
350;Terima kasih bu atas semester 7 nya
351;Terima Kasih atas pengajaran nya di semester ini ¿¿¿¿
352;semoga kedepannya lebih baik lagi.
353;Tidak ada saran
354;"tidak ada saran<br />
"
355;Sebenernya enak penjelassnya cuman sulit kalo online susah masuk di kepala saya bu:)
356;Semoga tidak seperti itu lagi
357;. 
358;Baik
359;sudah bagus
360;Dalam pembelajaran 1 semester ini dosen memberikan pelayanan sangat baik,dari segi penjelasan dan etika,sarannya sebelum melakukan pembelajaran lebih baik berdoa terlebih dulu,sekian terimakasih banyak
361;Untuk pemberian materi dan ketepatan waktu  sangat baik
362;Terima kasih
363;sangat baik
364;Dosen dan pengajaran baik
365;Bisa lebih baik lagi
366;Ok
367;Cara ibu dalam menjelaskan materi kepada mahasiswa sangat jelas sehingga mahasiswa dapat mengerti materi yang sudah ibu jelaskan
368;terimakasih
369;Terimah kasih
370;Sangat Baik
371;semoga bu rusdah di beri kesehatan dan tetap semangat ya ibu mengajarnya terimakasih atas ilmunya
372;Baik
373;Baik
374;Terima kasih bu selama satu semester ini
375;-
376;-
377;Semoga tidak berubah didepannya
378;baik
379;. 
380;rtc
381;Sudah bagus
382;Sangat baik dalam mengajar
383;.
384;Dosen baik dalam menyampainkan materi pembelajaran
385;sudah baik bu
386;Baik
387; 
388;Materi dapat dimengerti
389;Tidak ada
390;. 
391;makasih
392;tidak ada
393;. 
394;Sangat Baik
395;Terima kasih bu
396;Cukup bagus
397;Sudah baik dalam menyampaikan materi dan cukup lengkap materi yang telah diberikan di elearning 
398;Kedepannya Semoga Menjadi Lebih Baik
399;Baik
400;"sudah bagus<br />
"
401;.
402;baik
403;Dosen baik dalam menyampainkan materi pembelajaran
404;tidak ada 
405;Baik
406;Semoga tidak berubah untuk selanjutnya
407;Baik
408;terimakasih
409;Terimakasih atas bimbingannya selama semester ini
410;Sangat Baik
411;-
412;baik dan lebih baik lagi kedepannya:)
413;Terimakasih ibu
414;Semoga dapat mempertahankan kualitas mengajarnya
415;-
416;Baik
417;Terimakasi bu niali saya ga bagus hehe
418;Sudah cukup baik
419;Pembelajaran nya masih kurang karena dosen nya terlalu sibuk dengan kegiatan kampus
420; 
421;-
422;-
423;Terimakasih
424;Semoga kedepannya lebih baik lagi
425;mantap terus evaluasi diri
426;waktu pembelajaran yang sangat kurang
427;pelajaran jadi seru,namun kurang banyak dalam contoh
428;bagus banget dalam penyampaiannya
429;Baik
430;Sangat baik dalam perkuliahan
431;Dosen mengajar dengan baik
432;Baik
433;"Terima kasih<br />
"
434;w
435;Terima kasih 
436;Semoga bisa lebih bijak lagi,terutama kepada mahasiswa yg tinggal mengambil tugas akhir
437;pengajaran sudah baik
438;baik
439;Tidak ada kritik dan saran
440;: D
441;.
442;cukup baik
443;Ada beberapa hal dari penjelasan yang kurang bisa dimengerti dengan cara penyampaiannya.
444;Tidak ada
445;sangat mudah dipahami
446;tidak ada
447;Tidak ada saran
448;tidak
449;-
450;-
451;-
452;-
453;tidak
454;-
455;-
456;"Tidak ada<br />
"
457;Tidak ada
458;cukup
459;"cukup<br />
"
460;Terima kasih
461;.
462;cukup
463;terkadang ketika ada perkuliahan online tidak memberitahukan ke mahasiswa 
464;Terimakasih pak atas pengajarannya
465;tidak ada
466;dosen sangat baik dalam menyampaikan materi yang di berikan.
467;terimakasih 
468;sudah bagus
469;Terimakasih atas bimbingannya selama semester ini
470;"<br />
. "
471;Baik
472;-
473;Sangat baik, terimakasih.
474;Sangat Baik, terimakasih.
475;Baik dan terima kasih
476;Baik dan terima kasih
477;"Saran untuk pak irawan agar lebih sering menginfokan apabilq<br />
A akan ada kelas offline"
478;lebih semangat dalam memberika materi kepada mahasiswa
479;baik
480;Baik
481;tidak ada saran maupun kritik karena sudah cukup semuanya
482;Ramah dan profesional
483;Buat lebih menarik pak presentasinya
484;-
485;semoga kedepannya lebih baik lagi.
486;Tidak ada saran
487;4
488;Terima Kasih pak
489;Hhyuuu
490;tidak ada saran..
491;cukup
492;Pertahankan cara pembelajaran nya dan lebih detail lagi materinya
493;tidak ada
494;"tidak ada<br />
"
495;Baik
496;"Terima kasih pengajaran bapak ¿¿¿¿<br />
Semoga karirnya semakin sukses dalam pengajaran ¿¿¿¿"
497;Good
498;Cukup
499;Cara pengajaran sudah sangat baik
500;ditambah lagi waktu pembelajaran video conference
501;"Terimakasih Bu<br />
"
502;Sangat jelas ketika menjelaskan materi
503;Terimakasih bu
504;Dosen mengajar dengan baik
505;Baik
506;terimakasih Bu, telah mengajarkan ilmu-ilmu tentang rekayasa perangkat lunak selama ini, sehat selalu Bu
507;cukup
508;materi dan kasus sudah ok bu
509;Baik
510;tidak ada
511;Tidak ada kritik, semuanya baik
512;Terimakasih pak/bu
513;lebih baik lagi
514;Kritik saya adalah dari cari pengajarannya yang membuat mahasiswa, kurang mengerti dalam memahami pelajaran. Saran dari saya adalah membuat pelajaran mejadi menarik, agar pelajaran dapat mudah dimengerti para mahasiswa.
515;Cukup baik
516;Terimakasih atas bimbingannya
517;materi cukup mudah untuk dipahami
518;Sudah baik, semoga kedepannya ibu bisa lebih baik dalam mengajar
519;Baik
520;Saya harap semoga kualitas pengajaran semakin meningkat
521;terima kasih atas bimbingannya
522;Baik
523;Tidak ada
524;terima kasih ibuu
525;Kurang banget buat saya,jadi segan buat konsultasi atau hal lainnya karena respon nya
526;Materi dan pembelaran yang diberikan sangat baik dan mudah dimengerti. Terima kasih
527;cara menyampaikan materi nya sangat baik
528;-
529;baik
530;terima kasih bu atas ilmu yang diberikan selama 1 semester ini. semoga bu noni sehat selalu dan sukses terus ya bu.
531;"Kalau ngasih soal jangan banyak\"" bu"
532;Terima kasih 
533;Semoga lebih baik lagi
534;-
535;tidak ada
536;semoga kedepannya lebih baik lagi
537;Tidak ada
538;Sudah sangat baik dalam penyampaian materi maupun materi yang disediakan
539;tidak ada
540;Tidak Ada
541;Oke
542;Lebih baik lagi untuk kedepannya
543;baik
544;semoga lebih baik lagi bu
545;semoga bisa jadi motivasi bagi masyarakat Universitas Budi Luhur
546;Semoga kedepannya dapat mempertahankan kualitas mengajarnya
547;Baik
548;Good
549;Semangat
550;Cukup baik
551;Terima kasih bu selama satu semester ini
552;Tidak ada
553;.
554;Baik
555;.
556;udah top banget dah
557;penyampaian materi cukup baik, dan bagus jika mengambil keputusan untuk kelas diadakan voting via telegram
558;baik
559;-
560;Baik
561;Sehat selalu bu
562;kurang diperdalam tentsng materinnya
563;.
564;Cukup
565;arigatou
566;Cukup
567;baik
568;terimakasih ibu
569;Baik
570;Dosen sangat aktif dan ramah
571; 
572;Sangat baik
573;baik
574;Sudah sangat baik bagi saya
575;baik
576;tidakada
577;tidak ada
578;makasih bu
579;-
580;Baik
581;Sudah culup baik
582;waktu quiznya lebih dilamakan 
583;Sangat baik selama perkuliahan
584;.
585;Cara mengajar dari ibu dosen sangat baik
586;bagus
587;Sudah baik
588;Baik
589;Terimakasih atas 1 semester nya dan ilmu yang telah diberikan semoga ilmunya berguna di kemuadian hari nanti
590;Thanku
591;Baikk
592;Baik
593;bagus dan baik
594;Terima kasih sudah mengajar dan membimbing saya bu. Semoga ibu sehat selalu
595;Sudah sangat baik
596;sehat terus yaa bu
597;"sangat baik<br />
"
598;Dosen baik
599;Semoga lebih baik
600;Baik
601;Dosen sangat aktif dan ramah
602;Ilmu yang diberikan sangat banyak dan jelas, serta dalam penyampaian materi sangat baik dan sabar.
603;Baikk
604;agar memotivasi mahasiswa dalam pembelajaran
605;-
606;Tidak ada keritik maupun saran, karena sangat baik semua
607;cara mengajar dosen baik
608;Salam Budi Luhur
609;tidak ada
610;sudah baik 
611;-
612;Keren
613;"Ibu sudah sangat bagus dalam mengajar dan memotivasi mahasiswa supaya menjadi orang yang jujur , bijaksana dan menjadi orang yang sukses.<br />
Terimakasi atas ilmu yang Ibu berikan, semoga bisa manfaat."
614;-
615;cukup
616;Baik
617;Baik
618;.
619;Mantap
620;"tidak ada saran<br />
"
621;Lebih baik lagi
622;terimakasih 
623;tidak ada
624;Terima kasih
625;Baik
626;Terima kasih bu telah memberikan saya ilmu yang bermanfaat dan bukan sekedar nilai. Semoga kedepannya lebih baik lagi dalam mengajar
627;Tidak Ada
628;baik, perbanyak pertemuan tatap muka
629;  
630;baik
631;bagus
632;Pertahankan cara mengajar ke mahasiswa, karena menyampaikan materi sangat jelas dan detail
633;tidak ada
634;baik
635;tidak ada
636;Ya
637;.
638;Ya
639;Terimakasih pak
640;Baik
641;penyampaian materi sudah cukup jelas 
642;BAIK
643;-
644;Semoga lebih baik lagi
645;Baik
646;CukUp
647;Semoga bermanfaat ilmu nya
648;cara menyampaikan materi nya sangat baik
649;Semoga lebih baik untuk kedepannya
650;terimakasih bu telah memberikan ilmunya selama 1 semester ini, semenjak online baru ibu doang yang saya mengerti tentang materi yg ibu jelaskan selama gmeet. sukses dan sehat selalu ya bu. ibu baikk.
651;Amazing
652;semoga kedepannya lebih baik lagi.
653;tidak ada saran
654;Baik
655;-
656;-
657;Keep spirit
658;Ramah
659;.
660;Terimakasih bu¿¿¿¿
661;Semoga lebih baik lagi
662;terima kasih telah memberikan materi selama 16 pertemuan ini Bu Dyah
663;Untuk kritik tidak ada karena pembelajaranya asik 
664;bu dyah sudah sangat baik dalam hal mengajar. saya mendapat ilmu baru yang bermanfaat. juga dalam pemberian materi sangat menyenangkan dan tidak membuat saya bosan. terima kasih bu dyah, semoga sehat selalu.
665;Diharapkan bisa lebih baik lagi mengajarnya
666;Penyampaiannya cukup baik
667;Dosen sangat baik dalam mengajar mahasiswa
668;baik 
669;kalo ngasih tugas enak selalu ada dalam materi yang sedang dibahas
670;sangat baik
671;Sangat Baik
672;Semangat bu Dyah,bu Dyah udah bagus banget ngajarnya.
673;menjelaskan materinya sulit untuk dipahami
674;materi yang di berikan cukup mudah di pahami
675;Baik
676;dosen nya sangat baikkkkkkkkkk
677;Terimakasih bu.. 
678;sudah baik dan cukup
679;tidak ada
680;baik
681;-
682;Trimakasih atas pembelajaran nya selama satu semester
683;baik
684;Menurut saya bu dyah sangat baik dalam mengajar dan juga memotivasi mahasiswa
685;lebih giat lgi ngajarnya
686;Oke
687;sudah baik pengajarannya
688;Lebih paham dalam pengajaran offline kalau online kurang paham
689;Bagus
690;Semua tugas dan materi selalu berdasarkan modul sehingga mudah dipahami.
691;-
692;Sangat baik
693;Sangat puas dengan cara mengajar Bu Dyah 
694;Maafin saya kalo misalnya saya masih ada yang belum di mengerti tentang materi yang sudah di kasih, dan semoga sukses selalu
695;komunikasi kepada mahasiswa/i lebih ditingkatkan lagi. Terima kasih
696;Baik
697;Mahasiswa bisa mandiri dalam hal membahas materi pelajaran krn sebelumnya telah diberikan tugas membahas materi pelajaran 
698;"dosen sangat perhatian kepada mahasiswa.<br />
<br />
<br />
"
699;baik
700;"agar selalu tetap<br />
istiqomah dalam mengajar dan memberi ilmu"
701;Semangat
702;baik
703;Tidak ada
704;tidakada
705;Sudah sangat baik
706;No
707;.
708;-
709;-
710;Baik
711;Terima kasih pak semoga ilmu yang diberikan bermanfaat
712;Terima kasih bapak atau ibu yang telah memberikan tugas atau materi materi yang di sampaikan
713;arigatou
714;Durasi pengerjaan uts dan uas lebih diperpanjang lagi agar pengerjaan soalnya bisa lebih teliti
715;tidak ada
716;baik
717;Tidak ada sudah debest
718;sudah baik
719;Sudah bagus Pak
720;Cukup
721;Baik
722;.
723;-
724;-
725;baik
726;Baik
727;Tidak ada
728;baik
729;Terimakasi ata 1 semesternya dan ilmu yang diberikan, semoga ilmunya dapat berguna di kemudian hari nanti. Terimakasih banyak
730;Terima kasih pak atas ilmunya 1 semester ini, semoga di pertemukan kembali dengan matakuliah yang akan datang :) 
731;Tidak ada
732;Thx
733;makasih pak
734;makasih
735;tidak ada
736;Terimakasih pak
737;.
738;sangat baik
739;-
740;Cukup baik
741;.
742;Terimakasih
743;Ya
744;baik
745;tidak ada
746;mantap
747;Tidak ada
748;Baik
749;Semoga lebih baik lagi
750;Sudah cukup baik dalam mengajar, semoga semakin lebih baik untuk kedepannya.
751;Semoga jadi lebih baik lagi
752;1
753;-
754;BAIK
755;Semoga lebih baik lagi
756;Baik
757;baik
758;Materi dan pembelaran yang diberikan sangat baik dan mudah dimengerti. Terima kasih
759;Kurang penjelasan materi dan ketepatan waktu
760;cara menyampaikan materi nya sangat baik
761;mantab pak
762;baik
763;Semoga lebih baik untuk kedepannya
764;Penyampaian materi cukup jelas
765;Baik
766;-
767;Baik
768;Cukup
769;Tidak ada
770;agar menjadi dosen yang lebih baik lagi dalam mengajar dan menjelaskan materi
771;Sehat selalu ya pak...
772;Baik
773;baik
774;diharapkan lebih inten dalam pertemuannya
775;cukup
776;The best
777;mantap dosennya
778;Cukup baik
779;-
780;-
781;Sangat Baik
782;tidak ada
783;-
784;tidak ada yang perlu di kritik¿¿¿¿¿¿¿¿
785;Dosen sudah sangat baik dalam mengajar, dan perhatian terhadap mahasiswa nya.
786;dosen sudah mengajar dengan baik dan bisa menyesuaikan diri dengan mahasisw
787;sehat- sehat terus bapak
788;Baik
789;Dosen sudah sangat baik dalam memberikan materi perkuliahan dan memberikan pelayanan terbaik kepada mahasiswa.
790;Terimakasih pak
791;saran: harus lebih baik lagi dalam menyampaikan materi
792;Cukup baik 
793;tidak ada. karena selama proses pengajaran saya tidak merasa ada masalah sama sekali
794;Kuranganya pemahaman materi ketika online 
795;Sangat disiplin.
796;dosen sudah mengajar dengan baik dan bisa menyesuaikan diri dengan mahasiswa
797;Cara penyampaian materi dan juga cara mengajarnya sangat baik dan mudah dimengerti
798;Menurut saya, seharusnya dia sudah mengajarkan SQL sebelum UTS agar kemapuan beberapa mahasiswa semakin baik
799;cukup
800;" Lebih di perhatikan lagi dalam penyampaian materi <br />
perkuliahan."
801;Untuk penjelasan materi lebih Di perlambat ketika menjelaskan Agar mahasiswa lebih mengerti pelajaran yg Di sampaikan
802;kalau sedang menjelaskan agak dikasih intonasi agar lebih menarik 
803;Terima kasih banyak kepada Bapak La uw Lihin, semoga bapak selalu sukses di setiap langkah-langkah bapak terima kasih
804;Dosen baik tepat waktu
805;semoga kedepannya bisa lebih baik lagi
806;Sangat memuaskan dalam mengajar mahasiswa
807;-
808;Penjelasan dalam materi bapak kurang interaksi kepada mahasiswa, dan kurang improvisasi juga terlalu terpaku pada materi modul ppt
809;sejauh ini dosen sudab mengajarkan cukup baik
810;Lebih semangat lagi pak
