created_at,full_text,clean_tweet,stopword_tweet,stemmer_tweet,label_inset,label_senti
2022-01-29 03:56:05,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0Qxh9o,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qxh o,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qxh o,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qxh o,neg,neg
2022-01-29 00:12:59,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-28 13:16:47,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital... - https://t.co/Spsg0QOkbo,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qokbo,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qokbo,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qokbo,neg,neg
2022-01-28 09:24:16,Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/xmJMY4wglq,just posted a photo apartemen gateway budi luhur https t co xmjmy wglq,just posted photo apartemen gateway budi luhur https t co xmjmy wglq,just posted photo apartemen gateway budi luhur https t co xmjmy wglq,neg,neg
2022-01-28 07:13:02,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-28 07:03:43,Just posted a photo @ Universitas Budi Luhur https://t.co/pW7rvhXutW,just posted a photo universitas budi luhur https t co pw rvhxutw,just posted photo universitas budi luhur https t co pw rvhxutw,just posted photo universitas budi luhur https t co pw rvhxutw,neg,neg
2022-01-28 05:52:01,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qokbo,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qokbo,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qokbo,neg,neg
2022-01-28 02:07:04,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo ....,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qokbo,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qokbo,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qokbo,neg,neg
2022-01-28 02:07:00,Budi Luhur Luncurkan Desa Girikerto dan Wedomartani Jadi Desa Digital - https://t.co/Spsg0QOkbo,budi luhur luncurkan desa girikerto dan wedomartani jadi desa digital https t co spsg qokbo,budi luhur luncurkan desa girikerto wedomartani desa digital https t co spsg qokbo,budi luhur luncur desa girikerto wedomartani desa digital https t co spsg qokbo,neg,neg
2022-01-27 15:20:01,@JackGydanz @nadiemmakarim Batasi aplikasi di hp yg tak mendidik.. Kita ini bangsa timur yg terkenal luhur budi pakertinya..,batasi aplikasi di hp yg tak mendidik kita ini bangsa timur yg terkenal luhur budi pakertinya,batasi aplikasi hp mendidik bangsa timur terkenal luhur budi pakertinya,batas aplikasi hp didik bangsa timur kenal luhur budi pakertinya,neg,neg
2022-01-27 14:12:54,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-27 12:31:48,Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/B6bzclasWO,just posted a photo apartemen gateway budi luhur https t co b bzclaswo,just posted photo apartemen gateway budi luhur https t co bzclaswo,just posted photo apartemen gateway budi luhur https t co bzclaswo,neg,neg
2022-01-27 11:57:22,@Jelantik5 Sudah mulai bersemi BUDI LUHUR..,sudah mulai bersemi budi luhur,bersemi budi luhur,semi budi luhur,neg,neg
2022-01-27 08:20:00,"@G3boy2 kalo dulu univ budi luhur, kalo jaman sekarang bergeser jadi 'uwu banget loh' 😭🙏",kalo dulu univ budi luhur kalo jaman sekarang bergeser jadi uwu banget loh ,univ budi luhur jaman bergeser uwu,univ budi luhur jaman geser uwu,neg,neg
2022-01-27 05:44:27,"dulu UBL tuh singkatan Univ Budi Luhur, ternyata sekarang udah bergeser jadi UWU BANGET LOH. *dahla capek💔🙃*",dulu ubl tuh singkatan univ budi luhur ternyata sekarang udah bergeser jadi uwu banget loh dahla capek,ubl tuh singkatan univ budi luhur bergeser uwu dahla capek,ubl tuh singkat univ budi luhur geser uwu dahla capek,neg,neg
2022-01-26 21:12:52,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-26 15:27:03,abis pemeriksaan gigi di SD Strada Budi Luhur  https://t.co/IgaEVWvlOM,abis pemeriksaan gigi di sd strada budi luhur https t co igaevwvlom,pemeriksaan gigi sd strada budi luhur https t co igaevwvlom,periksa gigi sd strada budi luhur https t co igaevwvlom,neg,neg
2022-01-26 14:59:07,@isobss @makLambeTurah Mengingatkanku pada film ini: Shutter Island  Ngeri si ini terjadi di suatu negeri yang “katanya” paling luhur budi pekertinya https://t.co/3drRm1xcWu,mengingatkanku pada film ini shutter island ngeri si ini terjadi di suatu negeri yang katanya paling luhur budi pekertinya https t co drrm xcwu,mengingatkanku film shutter island ngeri negeri luhur budi pekertinya https t co drrm xcwu,ingat film shutter island ngeri negeri luhur budi pekerti https t co drrm xcwu,neg,neg
2022-01-26 08:22:24,"Adab dan Akhlaq Rhosulullah...luhur budi pekerti dan Amanah, Semoga istiqomah tuan. dulu kita pernah berdebat santun dan elegan,teruji hingga saat ini 👍@Aniesbaswedan",adab dan akhlaq rhosulullah luhur budi pekerti dan amanah semoga istiqomah tuan dulu kita pernah berdebat santun dan elegan teruji hingga saat ini ,adab akhlaq rhosulullah luhur budi pekerti amanah semoga istiqomah tuan berdebat santun elegan teruji,adab akhlaq rhosulullah luhur budi pekerti amanah moga istiqomah tuan debat santun elegan uji,pos,pos
2022-01-26 05:52:13,"@budaksamyang9 beliau kan salah satu penggede di Yayasan Budi Luhur, kalau di instagram nya masih aktif dalam berbagai kegiatan kampus. Cuma entah apakah masih aktif di motorsports",beliau kan salah satu penggede di yayasan budi luhur kalau di instagram nya masih aktif dalam berbagai kegiatan kampus cuma entah apakah masih aktif di motorsports,penggede yayasan budi luhur instagram aktif kampus aktif motorsports,gede yayasan budi luhur instagram aktif kampus aktif motorsports,neg,neg
2022-01-26 04:12:55,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-26 03:58:50,Just posted a photo @ Universitas Budi Luhur https://t.co/FRCu7ngHKi,just posted a photo universitas budi luhur https t co frcu nghki,just posted photo universitas budi luhur https t co frcu nghki,just posted photo universitas budi luhur https t co frcu nghki,neg,neg
2022-01-25 23:49:32,Sosok juru bicara publik meski tampil dengan sikap luhur budi dan akhlak yang baik. https://t.co/F35jYxTJdS,sosok juru bicara publik meski tampil dengan sikap luhur budi dan akhlak yang baik https t co f jyxtjds,sosok juru bicara publik sikap luhur budi akhlak https t co f jyxtjds,sosok juru bicara publik sikap luhur budi akhlak https t co f jyxtjds,pos,pos
2022-01-25 11:12:57,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-25 10:21:14,Mengikuti perkembangan terkini di Jakarta tentang peningkatan jumlah kasus baru harian Omicron yang mencapai 95 % maka Manajemen tvOne memutuskan dengan sangat menyesal untuk dilakukan pembatalan kegiatan tvOne Goes to Campus yang akan dilaksanakan di Universitas Budi Luhur. https://t.co/LYXcrjem0Z,mengikuti perkembangan terkini di jakarta tentang peningkatan jumlah kasus baru harian omicron yang mencapai maka manajemen tvone memutuskan dengan sangat menyesal untuk dilakukan pembatalan kegiatan tvone goes to campus yang akan dilaksanakan di universitas budi luhur https t co lyxcrjem z,mengikuti perkembangan terkini jakarta peningkatan harian omicron manajemen tvone memutuskan menyesal pembatalan tvone goes campus dilaksanakan universitas budi luhur https t co lyxcrjem z,ikut kembang kini jakarta tingkat hari omicron manajemen tvone putus sesal batal tvone goes campus laksana universitas budi luhur https t co lyxcrjem z,neg,neg
2022-01-25 09:28:29,"@KompasTV yg paling mudah minta maaf dan merupakan salah satu budi pekerti luhur,,, harapannya jangan sampai pada permintaan maaf saja, tapi harus ada tindakan nyata dalam perbaikan diri",yg paling mudah minta maaf dan merupakan salah satu budi pekerti luhur harapannya jangan sampai pada permintaan maaf saja tapi harus ada tindakan nyata dalam perbaikan diri,mudah maaf budi pekerti luhur harapannya permintaan maaf tindakan nyata perbaikan,mudah maaf budi pekerti luhur harap minta maaf tindak nyata baik,pos,pos
2022-01-25 08:30:26,Katingan Mendapatkan Bantuan 58 Kursi Roda dari BRSPDM Budi Luhur https://t.co/6XR8xq4sKX,katingan mendapatkan bantuan kursi roda dari brspdm budi luhur https t co xr xq skx,katingan bantuan kursi roda brspdm budi luhur https t co xr xq skx,katingan bantu kursi roda brspdm budi luhur https t co xr xq skx,neg,neg
2022-01-25 07:29:02,Just posted a photo @ Universitas Budi Luhur https://t.co/czZXWxFuED,just posted a photo universitas budi luhur https t co czzxwxfued,just posted photo universitas budi luhur https t co czzxwxfued,just posted photo universitas budi luhur https t co czzxwxfued,neg,neg
2022-01-24 18:12:52,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-24 16:13:34,Wkwowkwk budi luhur dan masih sesuai syariat aja masih aja di pandang sebelah mata😏,wkwowkwk budi luhur dan masih sesuai syariat aja masih aja di pandang sebelah mata,wkwowkwk budi luhur syariat pandang sebelah mata,wkwowkwk budi luhur syariat pandang belah mata,neg,neg
2022-01-24 12:17:33,Mengapa masih ada perilaku aksi main hakim sendiri di masyarakat?   Talk : Kepala Jurusan Kriminolog Univ Budi Luhur Untung Sumarwan https://t.co/znJflGNQxe,mengapa masih ada perilaku aksi main hakim sendiri di masyarakat talk kepala jurusan kriminolog univ budi luhur untung sumarwan https t co znjflgnqxe,perilaku aksi main hakim masyarakat talk kepala jurusan kriminolog univ budi luhur untung sumarwan https t co znjflgnqxe,perilaku aksi main hakim masyarakat talk kepala jurus kriminolog univ budi luhur untung sumarwan https t co znjflgnqxe,pos,neg
2022-01-24 07:03:20,Just posted a photo @ Apartemen Gateway Budi Luhur https://t.co/EF4cTEx15Y,just posted a photo apartemen gateway budi luhur https t co ef ctex y,just posted photo apartemen gateway budi luhur https t co ef ctex y,just posted photo apartemen gateway budi luhur https t co ef ctex y,neg,neg
2022-01-24 05:44:05,@marshel_daniels virusnya baik hati dan berprekerti budi luhur,virusnya baik hati dan berprekerti budi luhur,virusnya hati berprekerti budi luhur,virus hati berprekerti budi luhur,neg,neg
2022-01-24 01:12:56,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-23 23:48:58,seenggaknya stresnya gw berkurang 1 tiap mau kerja gak ngelewati lagi macetnya budi luhur sama rasuna 😆,seenggaknya stresnya gw berkurang tiap mau kerja gak ngelewati lagi macetnya budi luhur sama rasuna ,seenggaknya stresnya gw berkurang gak ngelewati macetnya budi luhur rasuna,enggak stres gw kurang gak ngelewati macet budi luhur rasuna,neg,neg
2022-01-23 10:28:42,@hhsyqq gatau deh ya 😭 maen ke ciledug cuma smpe univ budiluhur,gatau deh ya maen ke ciledug cuma smpe univ budiluhur,gatau maen ciledug smpe univ budiluhur,gatau maen ciledug smpe univ budiluhur,pos,neg
2022-01-23 08:12:57,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-22 03:32:11,"@travelfish Hahahahaha  Coto Makassar n es teler ala Komodo (different with original Jakarta version)  RM Budi Luhur, one of the best Sop Ikan Kuah Kuning in town  Kellan Eat First, decent Sino-Indonesian cuisine, Surabayan Chef  Pagaruyung  best RM Padang, grilled tuna steak Minang style😍 https://t.co/nFXvzfTUtX",hahahahaha coto makassar n es teler ala komodo different with original jakarta version rm budi luhur one of the best sop ikan kuah kuning in town kellan eat first decent sino indonesian cuisine surabayan chef pagaruyung best rm padang grilled tuna steak minang style https t co nfxvzftutx,hahahahaha coto makassar n es teler ala komodo different with original jakarta version rm budi luhur one best sop ikan kuah kuning in town kellan eat first decent sino indonesian cuisine surabayan chef pagaruyung best rm padang grilled tuna steak minang style https t co nfxvzftutx,hahahahaha coto makassar n es teler ala komodo different with original jakarta version rm budi luhur one best sop ikan kuah kuning in town kellan eat first decent sino indonesian cuisine surabayan chef pagaruyung best rm padang grilled tuna steak mang style https t co nfxvzftutx,neg,neg
2022-01-21 22:12:51,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-21 18:27:17,@hendorrr ih bapak eluu. kalo bapak gua salam budiluhur 🤚WKWKWK,ih bapak eluu kalo bapak gua salam budiluhur wkwkwk,ih eluu salam budiluhur wkwkwk,ih eluu salam budiluhur wkwkwk,pos,neg
2022-01-21 09:58:00,"@TukangMu Siᶇkatnya buḍi pĕkĕrti luhur ,jika akhlak masih biyas .",siᶇkatnya buḍi pĕkĕrti luhur jika akhlak masih biyas,siᶇkatnya buḍi pĕkĕrti luhur akhlak biyas,si katnya bu i p k rti luhur akhlak biyas,pos,neg
2022-01-21 07:05:43,@AndryWaseso Referensinya Alquran bisa gak Kak?  Terutama berkenaan dg akhlak budi pekerti luhur?,referensinya alquran bisa gak kak terutama berkenaan dg akhlak budi pekerti luhur,referensinya alquran gak kak dg akhlak budi pekerti luhur,referensi alquran gak kak dg akhlak budi pekerti luhur,pos,neg
2022-01-21 05:12:54,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-20 16:48:15,Alkisah disuatu negara yang mau membuat metavirst karena memiliki nilai budi luhur,alkisah disuatu negara yang mau membuat metavirst karena memiliki nilai budi luhur,alkisah disuatu negara metavirst nilai budi luhur,alkisah suatu negara metavirst nilai budi luhur,pos,pos
2022-01-20 15:26:02,"Webinar “Muda Berkarya Untuk UMKM Indonesia”   Hari / Tanggal: Rabu, 26 Januari 2022 Pukul: 14.00-17.00 WIB LIVE ZOOM: Universitas Budi Luhur Jakarta   Gratis dan terbuka untuk umum, segera daftarkan dirimu melalui https://t.co/YIYLKKkxNd https://t.co/ayuH4R6q0J",webinar muda berkarya untuk umkm indonesia hari tanggal rabu januari pukul wib live zoom universitas budi luhur jakarta gratis dan terbuka untuk umum segera daftarkan dirimu melalui https t co yiylkkkxnd https t co ayuh r q j,webinar muda berkarya umkm indonesia januari live zoom universitas budi luhur jakarta gratis terbuka daftarkan dirimu https t co yiylkkkxnd https t co ayuh r q j,webinar muda karya umkm indonesia januari live zoom universitas budi luhur jakarta gratis buka daftar diri https t co yiylkkkxnd https t co ayuh r q j,pos,pos
2022-01-20 12:12:55,Sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya ~ HR Bukhori #jokam #jokamlicious,sebaik baiknya dari kalian orang iman adalah orang iman yang lebih luhur budi pekertinya hr bukhori jokam jokamlicious,baiknya iman iman luhur budi pekertinya hr bukhori jokam jokamlicious,baik iman iman luhur budi pekerti hr bukhori jokam jokamlicious,pos,pos
2022-01-20 01:18:58,@ariefoster jam 6 lewat 5 menit Budiluhur udh macet,jam lewat menit budiluhur udh macet,jam menit budiluhur macet,jam menit budiluhur macet,neg,neg
